,county,county key,state,number agents,radiation,population density,mean income tax
0,Freiburg im Breisgau,8311,8.0,16410.0,1182.4,1511,7.271844152676013
1,Dillingen an der Donau,9773,9.0,26614.0,1215.4,122,6.642851212221853
2,Nürnberg,9564,9.0,50926.0,1186.8,2780,6.7384872285132875
3,Neumarkt in der Oberpfalz,9373,9.0,33915.0,1197.2,100,6.664490491058757
4,Rosenheim,9163,9.0,7858.0,1236.8,1707,7.013568067992108
5,Wilhelmshaven,3405,3.0,12782.0,1041.0,711,4.437422485845241
6,Wittmund,3462,3.0,20433.0,1059.8,87,4.5138625283763165
7,Recklinghausen,5562,5.0,106124.0,1089.4,807,5.886291942511175
8,Steinfurt,5566,5.0,109179.0,1065.4,250,6.1270091111407
9,Kusel,7336,7.0,25424.0,1154.6,122,4.834792023820265
10,Neuwied,7138,7.0,50746.0,1078.6,292,7.064694632733199
11,Neunkirchen,10043,10.0,38538.0,1177.6,526,5.097897524247065
12,Ostholstein,1055,1.0,57197.0,1092.6,144,5.856297540055026
13,Amberg,9361,9.0,7447.0,1185.0,842,6.283923164269493
14,Fürth,9563,9.0,13832.0,1193.4,2028,7.1308362107791625
15,Günzburg,9774,9.0,32741.0,1221.6,167,6.4648364764860355
16,Regensburg,9362,9.0,14896.0,1218.0,1893,8.069365332523228
17,Rhön-Grabfeld,9673,9.0,22429.0,1139.6,78,5.568149690287095
18,Elbe-Elster,12062,12.0,29585.0,1164.2,54,3.5589186536702875
19,Marburg-Biedenkopf,6534,6.0,53995.0,1085.8,196,6.568147994180004
20,Rostock,13003,13.0,12908.0,1118.2,1153,4.620802796602375
21,Cloppenburg,3453,3.0,43215.0,1039.2,120,5.2159155955664245
22,Gifhorn,3151,3.0,49832.0,1094.4,113,8.124475033677085
23,Bernkastel-Wittlich,7231,7.0,37869.0,1124.8,96,5.269843650406809
24,Rhein-Lahn-Kreis,7141,7.0,34342.0,1107.8,156,5.86344845979464
25,Steinburg,1061,1.0,38609.0,1016.4,124,5.614026976180607
26,Unstrut-Hainich-Kreis,16064,16.0,25677.0,1116.0,104,4.1642464246424655
27,Alb-Donau-Kreis,8425,8.0,47301.0,1211.8,145,7.076370783770572
28,Baden-Baden,8211,8.0,8377.0,1163.8,394,10.108335712246648
29,Heilbronn,8121,8.0,16339.0,1190.8,1267,8.527257660988319
30,Rottweil,8325,8.0,34042.0,1168.8,182,6.988401236458826
31,Altötting,9171,9.0,26052.0,1238.6,196,6.558753125166232
32,Neu-Ulm,9775,9.0,35953.0,1223.8,340,6.89138896589964
33,Weißenburg-Gunzenhausen,9577,9.0,23473.0,1201.4,98,5.548996987758764
34,Weiden in der Oberpfalz,9363,9.0,7398.0,1163.8,606,6.794294088015753
35,Uelzen,3360,3.0,27733.0,1079.0,63,4.96947980014921
36,Märkischer Kreis,5962,5.0,75803.0,1047.2,387,6.726527992560923
37,Koblenz,7111,7.0,16528.0,1108.6,1084,6.358694705298187
38,Bautzen,14625,14.0,68210.0,1174.8,125,4.253370025900637
39,Saalfeld-Rudolstadt,16073,16.0,24951.0,1101.4,102,4.18304210250519
40,Aichach-Friedberg,9771,9.0,33161.0,1236.2,173,7.796454758598032
41,Amberg-Sulzbach,9371,9.0,27654.0,1185.0,82,5.5946938383158695
42,Bamberg,9471,9.0,36290.0,1173.4,126,5.991593582023199
43,Dingolfing-Landau,9279,9.0,27118.0,1228.0,110,6.3088565727741726
44,Barnim,12060,12.0,43004.0,1112.0,125,5.397492571925502
45,Bergstraße,6431,6.0,59785.0,1159.0,376,7.463768435926874
46,Goslar,3153,3.0,34039.0,1080.2,141,5.588281660535996
47,Hildesheim,3254,3.0,65007.0,1081.8,228,5.765422996723265
48,Vechta,3460,3.0,35849.0,1050.8,175,6.526092906013683
49,Höxter,5762,5.0,38210.0,1038.8,117,5.418720263511041
50,Bad Kreuznach,7133,7.0,43676.0,1145.0,183,6.0208196160025285
51,Cochem-Zell,7135,7.0,22779.0,1110.6,89,5.320099589529642
